GSM_ID,Factor,Biosource,GIGGLE_score
GSM2698330,TP53,Macrophage;Bone Marrow,268.4215642267969
GSM994529,EP300,T Lymphocyte;Blood,268.22282446523485
GSM2102920,NR3C1,Mammary Gland,267.95760387834457
GSM1633898,EP300,Dendritic Cell,267.60622483865717
GSM2298145,JUN,Blast Cells,265.81256218409334
GSM1004842,EP300,Th0,264.1681997913049
GSM1290107,TCF7L1,B Lymphocyte,263.9867030714762
GSM1563699,STAT1,Macrophage;Bone Marrow,262.7405401517669
GSM1027497,RUNX2,MC3T3-E1;Osteoblast;Bone,261.35434455421057
GSM881114,RELA,Dendritic Cell;Bone Marrow,261.0800229104961
GSM1501998,MED1,Hair follicle stem cell;Skin,260.6655910696217
GSM978767,BATF,Th17;Spleen,257.8973545859132
GSM1022321,STAT1,Macrophage;Bone Marrow,256.9757994132473
GSM2095114,RELA,Macrophage;Bone Marrow,256.70773255133287
GSM904766,STAT5A,T Lymphocyte;Spleen,254.22956786716483
GSM1288316,TCF12,Endoderm,252.6496071960525
GSM2055715,STAT5,T Lymphocyte,252.55996699982617
GSM1246866,CREBBP,V6.5;Embryonic Stem Cell;Embryo,251.94020219466597
GSM2663862,ATF3,MIN;Macrophage;Bone Marrow,248.76406942617172
GSM2102921,NR3C1,Mammary Gland,247.9268232442841
GSM1520420,POLR2A,Macrophage,247.6993787260628
GSM1631871,GPS2,Raw 264.7;Macrophage,247.68462793388665
GSM1242998,PARP14,T Lymphocyte;Blood,246.19307471105284
GSM1370452,KLF4,3T3-L1;Preadipocyte;Adipose,245.8036591833148
GSM1052763,PR,Epithelium;Mammary Gland,245.2809023865894
GSM2102918,STAT5A,Mammary Gland,243.74264530816455
GSM1601733,STAT3,T Lymphocyte,243.59852246737273
GSM1131254,RELA,Macrophage;Peritoneum,243.21971248985446
GSM1368007,EP300,3T3-L1;Preadipocyte;Adipose,243.02805990988207
GSM1234369,STAT5B,Th9;Spleen,240.27966959361225
GSM2298144,JUN,Blast Cells,239.70785420892463
GSM2433219,POLR2A,MECs;Thymus,239.29959555908584
GSM1183971,SPI1,Macrophage;Peritoneum,238.11845303008064
GSM1511224,STAT3,Dendritic Cell;Spleen,238.00972431378247
GSM671415,STAT3,Dendritic Cell;Spleen,238.00972431378247
GSM1913074,EP300,Preadipocyte,237.3205494714843
GSM1944624,NFE2L2,Macrophage,237.06442076051346
GSM1257549,STAT5,Epithelium;Mammary Gland,235.52638551173092
GSM671390,STAT5B,T Lymphocyte;Lymph Node,235.09514187304214
GSM2540283,STAT3,Hepatocyte,234.17974968149312
GSM494695,STAT3,T Lymphocyte;Blood,233.6332977925089
GSM2698331,TP53,Macrophage;Bone Marrow,233.57638286173128
GSM2734693,STAT5B,T Lymphocyte;Spleen,232.8006148993319
GSM898366,SOX9,Embryonic vertebral column,231.52691638175827
GSM2091493,JUN,Blast Cells,231.09025875152938
GSM1295564,STAT5A,Epithelium;Mammary Gland,229.89845564720932
GSM994531,EP300,T Lymphocyte;Blood,229.13076849385754
GSM1183564,STAT5A,Epithelium;Mammary Gland,228.74952680807397
GSM1499984,NR3C1,3134;Epithelium;Mammary Gland,228.7016912171093
GSM1528108,SOX2,Multipotent progenitor cell;Otic,228.5954737316314
GSM1601731,STAT3,T Lymphocyte,228.20719089886362
GSM2112625,OLIG2,CD-1;Neural Stem Cell;Brain,227.83549040584012
GSM2845661,RELA,372;Macrophage;Bone Marrow,227.28857009444766
GSM2663860,ATF3,MIN;Macrophage;Bone Marrow,226.34662781836892
GSM2734695,STAT5B,T Lymphocyte;Spleen,226.32865835325646
GSM652877,STAT3,T Lymphocyte;Blood,226.05025307183868
GSM2691033,STAT5,Natural Killer Cell;Spleen,225.84942036535602
GSM994530,EP300,T Lymphocyte;Blood,225.45682981815446
GSM1875488,FOS,Macrophage;Bone Marrow,224.4898757151911
GSM999788,RNF2,Macrophage;Bone Marrow,222.70591709410198
GSM1062363,FOSL2,Striatal Cell,222.20988311541961
GSM978760,JUN,T Lymphocyte;Blood,220.0138290418941
GSM1888973,SOX9,Mesenchymal cell;Limb Bud,219.7472543189049
GSM2640413,FOXA1,Monolayer-cultured cells established from mouse PDA primary tumor organoid (T3),218.45881823747303
GSM1052764,PR,Epithelium;Mammary Gland,217.80291081498365
GSM1131256,RELA,Macrophage;Peritoneum,217.7907123540096
GSM1234368,BCL6,Th9;Spleen,217.4825945459052
GSM1004866,STAT3,Th17,216.19539746519786
GSM994520,EP300,T Lymphocyte;Blood,213.20812639104983
GSM544722,NR3C1,3T3-L1;Preadipocyte;Adipose,212.68192084861118
GSM340801,RXRG,3T3-L1;Preadipocyte;Adipose,212.6659428884233
GSM686976,NR3C1,3T3-L1;Preadipocyte;Adipose,211.3473214423661
GSM2095113,RELA,Macrophage;Bone Marrow,210.49341715245788
GSM1468717,ATF3,Pancreas,209.6251811315493
GSM1059362,FOXA1,Lung,209.57111080739517
GSM1446075,NR3C1,Liver,209.37464188944364
GSM1835955,SMARCC1,Embryonic Fibroblast,209.24544294659168
GSM1004808,FOSL2,Th0,208.13991970189446
GSM2640378,FOXA1,T23,207.84577110486885
GSM2640379,FOXA1,Liver,206.54545164993763
GSM2640411,FOXA1,Monolayer-cultured cells established from mouse PDA primary tumor organoid (T3),205.27184440727936
GSM2640410,FOXA1,Monolayer-cultured cells established from mouse PDA primary tumor organoid (T3),205.08825051019238
GSM1631870,GPS2,Raw 264.7;Macrophage,204.71622312511883
GSM340800,RXRG,3T3-L1;Preadipocyte;Adipose,203.7597184931057
GSM1263818,ESR1,Aorta,203.29739384613328
GSM2300475,STAT3,Mammary Gland,201.62863538400637
