GSM_ID,Factor,Biosource,GIGGLE_score
GSM1563699,STAT1,Macrophage;Bone Marrow,324.92098629126707
GSM2060956,IRF1,Macrophage;Bone Marrow,323.6962282343505
GSM2095119,SREBF1,Macrophage;Bone Marrow,320.51596358419937
GSM2718363,SOX2,Embryonic Fibroblast,313.06334082598545
GSM2845730,IRF8,Macrophage;Bone Marrow,312.448616563739
GSM2060955,IRF1,Macrophage;Bone Marrow,312.4415412449676
GSM671390,STAT5B,T Lymphocyte;Lymph Node,311.4424110813609
GSM2734694,STAT5B,T Lymphocyte;Spleen,307.42484975300624
GSM2540282,STAT3,Hepatocyte,307.34650696729716
GSM2845733,IRF8,Macrophage;Bone Marrow,307.2314049362183
GSM2698329,TP53,Macrophage;Bone Marrow,306.94850879597743
GSM1215806,KMT2B,Preadipocyte;Adipose,302.6490553563548
GSM1693007,SOX9,Chondrocyte;Nasal septum ,300.2390073641571
GSM2845661,RELA,372;Macrophage;Bone Marrow,299.0865176900985
GSM1619710,POLR2A,Dendritic Cell;Bone Marrow,298.92091195097487
GSM2683091,IRF2,MEFs;Embryonic Fibroblast,294.78495213644715
GSM1888973,SOX9,Mesenchymal cell;Limb Bud,294.57071367964784
GSM1289237,IRF8,Dendritic Cell,292.78999146006544
GSM1356195,IRF8,Macrophage;Bone Marrow,291.2348768848685
GSM1563695,STAT1,Macrophage;Bone Marrow,288.4532776072308
GSM999790,OGT,Macrophage;Bone Marrow,284.8834776946778
GSM2698319,IRF1,Macrophage;Bone Marrow,283.49983502877615
GSM1199835,POLR2A,Dendritic Cell;Skin,283.40923685150466
GSM1059362,FOXA1,Lung,281.54473032251184
GSM2296679,STAT3,Macrophage;Bone Marrow,280.63690618718726
GSM2640379,FOXA1,Liver,280.3331898121056
GSM1520420,POLR2A,Macrophage,278.86028403129427
GSM1242998,PARP14,T Lymphocyte;Blood,277.1950552987003
GSM1183978,RELA,Macrophage;Peritoneum,276.2945181209281
GSM2683092,IRF2,MEFs;Embryonic Fibroblast,276.12905609569765
GSM2698320,IRF1,Macrophage;Bone Marrow,272.8906811308493
GSM2298144,JUN,Blast Cells,270.02447124400777
GSM2300477,STAT3,Mammary Gland,267.2024050398019
GSM999804,IRF4,Dendritic Cell;Bone Marrow,265.967849527364
GSM2698321,IRF1,Macrophage;Bone Marrow,263.6980982353052
GSM1234368,BCL6,Th9;Spleen,262.8922701530037
GSM2640413,FOXA1,Monolayer-cultured cells established from mouse PDA primary tumor organoid (T3),262.3976446914751
GSM1875286,TFAP2A,Melan-a;Melanocyte,260.84025069931715
GSM851495,GRIP1,Macrophage;Bone Marrow,260.7306483634299
GSM2296681,STAT3,Macrophage;Bone Marrow,256.5720478406407
GSM1027491,VDR,MC3T3-E1;Osteoblast;Bone,254.03995935365575
GSM2610642,KDM6A,Epithelium;intestinal villus,253.34407745769218
GSM1062363,FOSL2,Striatal Cell,251.67891893699002
GSM2640378,FOXA1,T23,251.58002748283275
GSM2640411,FOXA1,Monolayer-cultured cells established from mouse PDA primary tumor organoid (T3),248.55729635665142
GSM2640410,FOXA1,Monolayer-cultured cells established from mouse PDA primary tumor organoid (T3),248.34163954556774
GSM860161,STAT5A,Fibroblast;Embryo,248.0793828615151
GSM1306908,OTX2,Retina,247.6274775008329
GSM2734693,STAT5B,T Lymphocyte;Spleen,247.50074358161132
GSM1175114,FOXO3,Neural Progenitor Cell,246.442803175532
GSM1004841,EP300,Th0,246.28482254652528
GSM2830298,STAT4,Natural Killer Cell;Spleen,245.25092728179914
GSM838683,STAT1,Macrophage;Bone Marrow,244.396172603675
GSM1611789,EP300,3134;Epithelium;Mammary Gland,244.24887011039726
GSM1183973,RELA,Macrophage;Peritoneum,243.10805745352226
GSM1401427,SPIB,Lymphocyte,242.8137976677296
GSM1012189,PAX6,Neural Progenitor-like Cell,242.3021401384921
GSM2845660,RELA,372;Macrophage;Bone Marrow,242.17426849221127
GSM2640377,FOXA1,Mouse PDA primary tumor organoid (T6),240.7897615022176
GSM2734695,STAT5B,T Lymphocyte;Spleen,240.6840258807456
GSM1234369,STAT5B,Th9;Spleen,240.35400984242042
GSM2433219,POLR2A,MECs;Thymus,239.36652243145505
GSM2095113,RELA,Macrophage;Bone Marrow,238.66227263220375
GSM2640376,FOXA1,hES-T3,238.6137083672455
GSM2698330,TP53,Macrophage;Bone Marrow,238.4192838759282
GSM1290093,SPI1,B Lymphocyte,236.89045054451327
GSM2702912,STAT1,HPC-7;Progenitor Cells,236.4425735063124
GSM1545740,SPI1,X18.1.1;Myeloid Cell,236.0882849617024
GSM2607978,NFATC1,T Lymphocyte,235.58927294887383
GSM978760,JUN,T Lymphocyte;Blood,235.06939543346027
GSM2640412,FOXA1,Monolayer-cultured cells established from mouse PDA primary tumor organoid (T3),234.90991507694744
GSM1004842,EP300,Th0,234.56695494582038
GSM671389,STAT5A,T Lymphocyte;Lymph Node,233.7981473702211
GSM665925,NCOR2,Macrophage;Bone Marrow,232.84616290174054
GSM1854061,MED1,Pancreas,232.81550990275142
GSM1323917,VDR,IDG-SW3;Osteocytic Cell;Bone,232.2166433982441
GSM1296534,IRF4,Pre-B Lymphocyte,232.16938611160248
GSM1132332,CTCF,B Lymphocyte,231.99523177040146
GSM545123,POLR2A,Macrophage;Bone Marrow,231.9110547130677
GSM1563702,STAT1,Macrophage;Bone Marrow,231.7928446856156
GSM2445272,PAX7,AtT-20;Corticotroph;Pituitary,230.5795945890189
GSM1898043,HES1,Macrophage;Bone Marrow,229.73904802113304
GSM2257705,CEBPB,3T3-L1;Preadipocyte;Adipose,229.2676320843462
GSM2310050,IRF4,B Lymphocyte,228.8057825231849
GSM1528108,SOX2,Multipotent progenitor cell;Otic,228.66808860038108
GSM2300478,STAT3,Mammary Gland,228.0799435542722
GSM2718356,SOX2,Intermediate,227.5069042806353
GSM494691,STAT3,T Lymphocyte;Blood,227.38147177873574
GSM2691033,STAT5,Natural Killer Cell;Spleen,225.91993253101842
GSM1545739,SPI1,X18.1.1;Myeloid Cell,225.2319872442476
GSM1898045,POLR2A,Macrophage;Bone Marrow,224.40405010236648
GSM1288316,TCF12,Endoderm,224.13822590523944
GSM1228674,SPI1,Macrophage;Bone Marrow,224.12123825409145
GSM904766,STAT5A,T Lymphocyte;Spleen,223.68245726624528
GSM1323918,VDR,IDG-SW3;Osteocytic Cell;Bone,221.326304171428
GSM1022316,STAT1,Macrophage;Bone Marrow,220.00175006781964
GSM2310051,IRF4,B Lymphocyte,219.4554847518507
GSM1843345,IRF4,Plasmablast,219.24808298047225
GSM1898046,HES1,Macrophage;Bone Marrow,219.24244804511062
GSM2076704,NFE2L2,C2C12;Myoblast;Muscle,218.25436716725315
GSM904760,STAT5A,T Lymphocyte;Spleen,218.2151657135024
GSM1022315,STAT1,Macrophage;Bone Marrow,217.95915304129915
GSM1263818,ESR1,Aorta,217.930918274026
GSM1289235,IRF8,Dendritic Cell,217.07119200275204
GSM1843344,IRF4,Plasmablast,215.5211319550101
