,Vehicle_S1,Vehicle_S2,Vehicle_S9,SMAC_S3,SMAC_S11,SMAC_S12,ICB_S5,ICB_S13,ICB_S14,SMAC+ICB_S7,SMAC+ICB_S8,SMAC+ICB_S15
Rpl13a,9.9404953822847,9.93305162419338,9.92085119207194,11.2679036349174,10.5616121025592,10.2552482435547,10.4163673334631,10.1651206331314,10.2994924683679,10.9961370785506,10.1343174961604,10.1789888664175
Pabpc1,10.3748128500889,10.5395976031608,10.2900596906678,10.1161175686567,10.3634262258081,10.2485307979083,10.3368204217548,10.2623236630184,10.2399936663322,10.0606067947112,10.1770903519045,10.5042781541388
P4hb,10.5061461508585,10.1905285390871,10.2513471318307,10.6939655603051,10.3765532914543,10.0931442123675,10.1598964350015,10.0976697061891,10.0141394493434,10.4683274539557,10.2104184209528,10.4351471094941
Hspd1,10.1922272601428,10.4181854675458,10.1372815260448,9.97627116024925,10.3358611412631,10.2953612373801,10.1896041560716,10.176533538347,10.5422381132391,10.2354296962546,10.330508467479,10.6554259830257
Tpt1,10.1692353267064,10.2354261721422,10.0950139738491,10.633507422538,10.2310692097141,10.1066480055688,10.2934303233629,10.280857946848,10.3633444029248,10.5685780943228,10.1268998670067,10.302676266714
Rpl6,10.1286448437774,10.3607751598753,10.0984035836006,10.5120189047778,10.2292852334608,10.1617501064196,10.1663535207717,10.2664977533163,10.368423261407,10.4477347843049,10.1799960233624,10.3907910366997
Rplp1,10.1403269539639,10.2233192773386,10.1517954126755,10.5970947990539,10.1840192297474,10.2075957738818,9.90873916062719,10.3760212163829,10.4626725325056,10.4477347843049,10.244127648602,10.3310483406968
Hnrnpab,10.2831468115242,10.5555585721645,10.1818074311543,10.1003108196378,10.4485275598607,10.2583826876371,10.1707034199352,10.1976172545706,10.3148052600076,10.1363874807372,10.2759590699267,10.2855797317663
Gnas,10.3839080347705,10.4021024970014,10.3946003333013,10.2056876649415,10.2648632715117,10.2831020678167,10.3067408056122,10.3485242278025,10.2361968100209,10.0528819289258,10.3208695805074,9.87495446996596
Npm1,10.179426171534,10.4159861903113,10.0676065209518,10.381058814529,10.2350116099696,10.184916054421,10.2227305389329,10.1156548815239,10.3562307392814,10.2716897399362,10.0831595785042,10.3096862492532
Rpl19,9.98246950686584,10.1615769239081,9.88010787384447,11.0533062467429,10.221037585903,9.9865740652665,10.2822059210906,10.0134373392592,10.2186902133888,10.6672135236667,10.0290029429856,10.2507665847512
Eif4g2,10.3340459874323,10.329438212709,10.2014224338163,10.1964726349138,10.2315785122954,10.1611299836025,10.1654328474533,10.0609523426563,10.1307346906814,10.2330022466775,10.2132578023972,10.3817434798439
Nedd4,10.364632241914,10.3635040520257,10.4288151658118,9.93950872341779,10.3169674428278,10.3378319957504,10.2391003073214,10.1971253335441,10.124033269895,9.99235364678436,10.1634326573311,10.0981265072868
Rps6,10.0021814891072,10.225902250859,9.96900001789526,10.6844553713083,10.2159633227034,10.0715709636796,10.0597993436802,10.152545846264,10.2999822053052,10.43997282901,10.0784002987069,10.3275723520015
Rps3,9.90036936971062,10.0936377130301,9.81019143557694,10.9785098075779,10.1955511542266,10.0579997342524,10.1586015425839,10.0439099410418,10.2317300316331,10.6757603202324,9.93342483248366,10.0995068066331
Hnrnpa2b1,10.1099077865917,10.2446811113887,10.1909977667083,10.1136548723347,10.2566919906265,10.2944567145385,10.0130715556527,10.2359051537744,10.3318058706001,10.1321523535482,10.0683864152104,10.1478529443986
Rpl7a,10.0151747548311,10.1112646668835,9.94802455520106,10.7298736865529,10.2131938626227,10.056711137512,10.1168566620657,10.0108893955999,10.1840123353494,10.4103504018482,10.0398153428752,10.2329254955668
Hspa5,10.2840303993937,10.0813544829677,10.0397839103706,10.2520823999141,10.0895518253145,9.99675849378848,10.0366246260583,9.4916303016895,10.3245345871417,10.4108999048137,10.3078625153019,10.7539360923141
Rps7,9.83369623366833,10.1803426573317,9.70433157336476,11.136730878022,10.0552223221849,9.9314449358231,9.99363015404837,10.0298594897842,10.1939088526799,10.598400821045,10.0158538040022,10.3627450084167
Bsg,10.2716106506043,10.1731984446007,10.0771007584353,10.4578737795464,10.2702025685588,9.99127992782703,10.1868241048634,10.0870296203761,10.0735327824972,10.2252977332237,9.96388413406096,9.96561404258736
Eif5a,9.90709090359202,10.2324436765243,9.82837563453672,10.5899270890769,10.2118394009773,10.0428640890102,9.9188995416141,9.95489415810678,10.1431093392527,10.3657493841016,10.1151748390303,10.4225695220795
Hnrnpa3,10.2262192172077,10.3086453116935,10.1647342296078,9.77132563838039,10.3020117894226,10.2229293322795,10.0575514853152,10.1791374817161,10.2631415174768,9.98519302491404,10.0488615025521,10.100635161021
Rpl13,10.0247214962896,10.2496981104417,9.97027437634687,10.4060963440983,10.0994911070795,10.0387289372186,10.0900016342286,10.0730374409316,10.278203933051,10.3052884524145,9.98309209837941,10.0931590639103
mt-Atp6,9.75715006651925,9.72307347781439,10.3305511494969,9.85307632781901,10.4643767228792,10.3645812186177,9.74690167920316,10.3110773708951,10.7448833896036,10.0797713289279,9.74998226499797,10.1767318243732
Rps4x,10.0166476024613,10.2150506574376,10.0376435845364,10.4206694261118,10.0873025013037,10.0227061197923,9.97167779648965,10.1365576292064,10.2479927016428,10.0657549696227,9.94350997687495,10.0560266047181
Ywhae,9.94385389311885,10.2013526302479,9.89622431075953,10.4105617725088,10.0826521652854,9.93976062202312,9.9485301884783,9.96295428813188,10.1916484604574,10.1963235232582,10.0473685668506,10.190339186097
Ncl,10.1655518793538,10.3023750104477,9.90062335777659,9.52980452591305,10.3445392986604,10.0308302930312,10.0790919985143,10.1085807010353,10.1807490048281,10.00703177745,9.96023243732326,10.2649829352426
Rpl32,9.88091359751811,9.83458056784509,9.79957958461581,10.754672382522,10.0985142150409,10.0034161378644,10.168683267004,9.96821737898071,10.0786794350435,10.4912308794479,9.8236495989947,9.95629472071714
Cfl1,9.89735219921894,10.148610602128,9.88114060639665,10.0964358600053,10.1879609321813,10.0275679671505,9.89658465004529,10.1000105565814,10.161397540619,10.0039226622606,10.070113504452,10.0045797326499
Eps8,9.76826765522774,10.1181954623735,9.77714829533016,9.97988137832915,9.89727293463529,10.1808836743524,10.3529228221799,9.8444007291093,10.2739367586871,10.1065388159818,10.2219727527361,9.88466692011425
Rpl7,9.91676430879498,10.1025540860199,9.83125059548248,10.4291670902848,9.97939399184875,9.90620636085424,9.93591606767086,9.91563249795096,10.1412364691597,10.2718547450878,9.85893404965253,10.1022008573035
Syt4,10.2425349361782,10.1976587833728,10.2008538738544,10.0037213472567,10.1279474168897,9.91196789084446,10.0510526986597,10.0827751869948,10.1021364349462,9.85394529696305,9.77514135851191,9.79627810248292
Ddx5,10.2302449513189,10.2375033376308,10.0476813696809,9.82190232317803,9.88954828783494,10.2024615510381,10.1597731619754,9.85310049400797,10.1282942477625,9.89708641404057,9.8432338248917,9.80176158595283
mt-Nd2,9.94771940759811,9.81737146077409,10.1201073527712,10.1294523280888,10.3717096096353,10.263206468515,9.95997343999876,9.8193324050768,10.3041731449709,9.8988681351593,9.15811963135779,10.3068646163039
Ctsd,9.66696488967767,9.78507306498331,9.75118901984197,10.2828531835463,9.79967056423814,9.86465971878166,10.0780486700024,9.91050711108247,10.0904556083395,10.1843936225419,10.2596827666255,10.3503079051785
Atp5a1,9.99223440124267,10.0947075364628,9.96978903918256,9.91048140195453,10.0583119138213,9.91304869013562,9.8785707328607,9.98389242133343,10.0874597762768,10.0310166311555,10.0223442372415,10.0390588800388
Arhgdia,9.94264917320318,10.1267376866526,9.88867007838011,9.84187822773393,10.173720116045,9.95972456534675,9.88066653136384,10.0073396391111,10.0294928281596,9.90781466948466,10.0708804365139,10.1080727163691
Eif4a1,9.94891990281271,10.1018701642074,9.89193989788868,10.0682387402512,9.98234754178293,9.84605492284221,9.85394290175517,9.91822154275563,9.96142406948357,10.0632149570105,9.99378103224663,10.005450157122
Rpl12,9.61227057694288,9.78762701045122,9.59174152300718,10.6981266119273,9.77682168143103,9.7392050105694,9.81635089293036,9.85608112672909,9.98389189775467,10.4697666231517,9.74246050116444,10.1482773913098
Calr,9.64818882036075,9.7831783343818,9.60023284507126,10.1206897577038,10.0892708515247,9.81737516381552,9.82158116583811,9.18375207604557,10.0390797151561,10.2395413855367,10.0843627743328,10.7475472633809
Canx,9.96477525916025,10.0083781287979,9.90982425019261,9.82742332679635,9.97704197732478,9.9254200323941,9.87316751486483,9.60861878138245,9.92342437624194,9.79485106147925,9.98180136957566,10.3784910258782
Rcc2,10.0206494197458,10.2722975842655,9.90272251759797,9.64702918581301,10.0325313590888,9.99313940065966,9.71512443266304,9.99594650514156,10.0106387968194,9.67170169382832,9.79337840764164,10.0941665105701
Slc45a2,9.76486346525542,10.1230722249171,9.79458684530155,9.86963109051482,9.70418641395868,9.90970541797369,10.0092452292112,9.6015319886936,10.1232428170134,9.89687245956281,10.1359064011633,10.0661379412028
Prdx1,9.51024707393324,10.0337005005,9.46454296555546,10.4649218282594,9.66230012825847,9.78516536334409,9.88402841351484,9.54741300776369,10.3086301022779,10.1671694897113,9.98288837585036,9.89214392131291
Serbp1,9.91947877586597,10.0978360348949,9.80244430870757,9.77764831992874,10.0599617740816,9.80499030841206,9.80725041822128,9.91357121971545,9.90266120962941,9.76616784563196,9.84390700280561,9.99395853441064
Ybx1,9.79664535619293,9.95543455432382,9.75436272452623,10.0885849116818,9.94067088014122,9.76283150708458,9.69918149062981,9.65504784511002,9.85165176292325,9.8560012029091,9.87212053914271,9.95740238269503
Sqstm1,10.2195556506432,10.0838195096671,9.93645918385303,9.77522645652568,9.70455333687679,9.78323228325691,9.94116145336674,9.98933238277252,9.84926366888514,9.67453352982055,9.71933095047827,9.38115032473711
Psap,9.47675191623513,9.66427244045946,9.58470628586495,9.55735012499117,9.60005959961156,9.67149582607727,10.0623734639804,9.98458937547302,10.0186521322701,9.99941247479401,10.2816016275583,9.9830546283326
Tyr,9.78938769911261,9.82033093110952,9.88590740166154,10.0872606347747,9.70069598399049,9.84790568555383,10.0340041089857,9.45048773898386,9.85231972148312,10.0642314987527,9.64041553028756,9.41852846231891
Eif4g1,9.74238990256847,9.8966232397383,9.74226532357926,9.30829266464691,10.0480838225622,9.77703975621783,9.76362711017362,9.67920185930761,9.77118414140886,9.69567895347166,9.89048282395894,10.1272081974678
Ran,9.49318531613281,9.77881098730135,9.42949919513314,10.4106175029929,9.856579359906,9.67166999449288,9.66857772099166,9.46254490152945,9.79500523964997,10.2485125268028,9.72063475020293,9.87817485441956
Slc25a5,9.74614345037436,9.78819394042841,9.72367501750095,9.90289469969522,9.8315166180355,9.68306127303509,9.73520152679224,9.81527789016429,9.78104050893178,9.95899348829566,9.73659195757783,9.70286172825186
Rpl10,9.71099421176194,9.68735196852599,9.68383777544719,10.0917860307088,9.69424405483051,9.75419504366793,9.67134755782917,9.75958163822145,9.79679093771092,9.95447747176937,9.75929000722419,9.76830696693939
Atp6v0c,9.60521767648999,9.85402578357051,9.68738438868821,9.91056022052103,9.6408919411837,9.75715256542983,9.62512956863903,9.67056552677749,10.0110661607187,9.61897641807413,9.75802069254254,10.0272396342071
Rpl27,9.40883066100862,9.66746014997215,9.36424736104994,10.4889264941805,9.88639829741129,9.62434396114944,9.73677254974533,9.66322335054962,9.78504424422664,10.2261495173,9.50831376361982,9.79674230252689
Akt1,9.67123137408228,9.89003598075571,9.57795505803742,9.81315945434751,9.9361472212182,9.73009105769589,9.60217916354434,9.74529630720558,9.64667585381056,9.73411102329907,9.73635027312771,10.0390588800388
Mif,9.62863015738353,9.80985305616852,9.71732825976599,10.0437977744709,9.88809530067975,9.68023630182381,9.67893730264489,9.81071183128187,9.902569077626,9.72698757700208,9.63653546120004,9.59392250049676
Apoe,9.47091393180473,9.73105671298981,9.52764882052588,9.91724410877619,9.57459229941429,9.6299718949083,9.76516749839396,9.8114262312771,9.96319202416809,9.91572083457156,9.87417237243561,9.78337564454461
Rps18,9.4468373574888,9.58904957020487,9.37720661240786,10.4952468374183,9.88259299373356,9.64755183094287,9.8002290307831,9.50096040191487,9.73013698022107,10.2781109975328,9.51996779168775,9.58463348625162
Rps9,9.5104794013287,9.65901277010558,9.49538752472226,10.3602033851351,9.72694161016708,9.60653790142068,9.65307268316199,9.66646483024932,9.78764072650179,10.0822823841768,9.53329166518344,9.67013157331545
Rpl10a,9.44124244495202,9.60993749341845,9.4221565444786,10.2834010886659,9.8007006009019,9.62055972267461,9.75842630004553,9.58942062894856,9.74860422410441,10.0742946460023,9.54013852318617,9.68249256115664
Hnrnpf,9.74752387836284,9.94978683646334,9.64864195375229,9.41237191216503,9.73809640837743,9.69384890081335,9.55224467439098,9.5934967463463,9.75504803400713,9.63163247411458,9.62718049675197,9.5766364641161
Rpl15,9.39920182071095,9.59229949470491,9.33929000019053,10.2957044355089,9.70235039826003,9.54531294523912,9.59890949539598,9.49705798771982,9.62405618526055,9.91445311935239,9.55839144090512,9.70747743317967
Rpl29,9.5388879782893,9.70066319743541,9.51581185063737,9.90154705325979,9.68134619360481,9.6162830151086,9.49857149175144,9.64946511596433,9.70595014807429,9.68605327224706,9.48788134029728,9.69831402691344
Serpinh1,9.54842311535806,9.82825455632256,9.56443744171287,10.0830707093991,9.54897386620076,9.64589800745641,9.31570348286238,9.10715587436667,9.68446223760805,9.54098111225181,9.65566189281715,10.1546895142505
Hnrnpk,9.7122066879681,9.8312835010889,9.6190801643151,9.52631119148606,9.60380187356586,9.65925148808257,9.6114933233383,9.56132539692695,9.64226848782618,9.62467246667216,9.5732623803231,9.51044660744353
Rbm3,9.57820855615701,9.46606508331883,9.46875684891631,10.0733874496017,9.66144987249631,9.51178573187473,9.62316386116002,9.73757412542554,9.41350755887604,10.0398929882803,9.25668062881633,9.56542011964385
Cct7,9.59627070182543,9.84215354807182,9.44791179174555,9.6933930486343,9.59056196723523,9.4557793087666,9.5104148308109,9.58733653197095,9.73790344514888,9.59464605925532,9.60458387025746,9.55008332403351
Hnrnpa1,9.76943295939978,9.77605084948981,9.66791883599481,9.3695511164452,9.71168974443899,9.70569090287881,9.52742635442363,9.72428252319477,9.6127245927384,9.44989969688606,9.39794285310543,9.43074246226831
Vdac1,9.65923232250978,9.69472865602587,9.58573604682294,9.61594778427407,9.77516321042453,9.51890233880741,9.56654277958468,9.56285354081514,9.66134318817714,9.57391872562629,9.55199711297371,9.33555464153756
Oxct1,9.40208470489704,9.70557339575753,9.48828875613481,9.68834512521667,9.49664833240809,9.42800486109975,9.72257137290978,9.08770798745648,9.80134437192629,9.76163167989276,9.79089801797446,9.64946296754546
Pfn1,9.39606170315383,9.70487296119763,9.42543439154495,9.71683946059097,9.73728968233168,9.53168839885572,9.39837770443216,9.67221827890078,9.60561103151742,9.61099876025482,9.65762022562141,9.55640210764112
Hnrnpu,9.68950665046329,9.7584141226866,9.58613191309721,9.10496773875154,9.81138664644621,9.62320372790469,9.59954584482572,9.67379057019434,9.62606636561719,9.48391372915111,9.54133800109689,9.51195516038001
H3f3b,9.90682617271338,9.87854632800931,9.57747730489426,9.59236122954077,9.49791900961532,9.58345771681024,9.5104148308109,9.75943355938928,9.58060643172043,9.51035399873036,9.28570900603546,9.30139557862203
Sdcbp,9.28243274912562,9.75619429444958,9.35925325162314,9.5715763224018,9.37491172149746,9.48144037092192,9.55196289801491,9.44947841213166,9.92831994333677,9.67752589810286,9.81207599708091,9.36558991819435
Rpl18a,9.38444685645405,9.63809473047364,9.34229278128747,10.0419281133463,9.53449648325282,9.28839309657885,9.31004932615267,9.60326569968099,9.68467656556252,9.70751978412886,9.44385954728198,9.59231906044186
Ero1l,10.450141529957,9.6834970696636,10.1463295357996,9.23175513649332,9.60321163318087,9.52032145724692,9.58658181544285,9.95120373661186,9.29398900242468,9.39682178163996,8.99084608440678,8.71531495271279
Rps15,9.33046458883715,9.5566958739986,9.21097682580524,10.1909022518283,9.58529157006099,9.42662952312682,9.55440313351607,9.34005801647276,9.66395450009949,9.80393184412368,9.28977727460382,9.48350002836797
Slc25a4,9.65954661233185,9.6640665397147,9.66297360418252,9.52548799968546,9.52278825039035,9.40814205686111,9.45543335338999,9.57687064659098,9.65654347245001,9.65450857769705,9.35188447286742,9.28030590025281
Fkbp4,9.26146616228641,9.80500569321808,9.30564792352393,9.79158127847684,9.57509403658318,9.46491989165092,9.28540163607351,9.16721511822294,9.76450802974435,9.50428086123041,9.79492648841994,9.68215760569392
Rps12,9.0611396104092,9.3108499345436,9.07487409403125,10.2687800876926,9.45778044825363,9.36857981665355,9.5504591604986,9.38663046575453,9.74511461749497,10.0818432648897,9.30006157355503,9.7626153871105
Rps10,9.18958180812654,9.53659219221333,9.14759066812625,10.4119543891667,9.54211265453637,9.34438386335197,9.4318401869063,9.37585218498645,9.56625401802648,9.87849713065553,9.36340723911347,9.56287528254937
Pdia3,9.28908362711995,9.58742185844038,9.21569202215009,9.686044762715,9.42687065762369,9.34154046711143,9.33733827385083,9.1211683540808,9.66525838574582,9.7731008966981,9.69623879043592,10.1880998452657
Eef1b2,9.36144808686,9.57936482583768,9.30612859756079,10.0985130254939,9.43175456933143,9.40828142412192,9.38936377896198,9.49287780682096,9.68767381844134,9.7904043295214,9.3031108640765,9.42854756603225
Rps14,9.0384409320169,9.2709799464658,8.73624971027157,10.7538379470108,9.56199182243773,9.30308308475781,9.4637454469367,9.28967770819827,9.55387079496247,10.2782205145496,9.4092060380056,9.60589183110668
